COUNTRY,PPP,MATH.MEAN,MATH.FEMALE,MATH.MALE,MATH.DIFF,READ.MEAN,READ.FEMALE,READ.MALE,READ.DIFF,SCIE.MEAN,SCIE.FEMALE,SCIE.MALE,SCIE.DIFF,AREA
Albania,4247.8,394.3293334,394.6732908,394.007619,-0.665671791,394.2073638,401.4829791,386.9317484,-14.55123072,397.4930596,401.0796962,393.906423,-7.173273203,Europe
Argentina,13040.3,388.4317099,381.703703,395.5573116,13.85360853,395.4392149,414.2515136,376.6269161,-37.62459749,405.5357753,408.8887601,402.1827904,-6.7059697,South America
Australia,67646.1,504.1507663,497.8213504,510.1148515,12.29350108,512.31592,529.5422806,495.0895594,-34.45272119,521.4263409,519.1244735,523.7282082,4.603734657,Oceania
Austria,48333.6,505.5407432,494.4622646,516.6818338,22.21956916,489.5573058,508.0214729,471.0931386,-36.92833426,505.7934059,501.4785179,510.1082938,8.629775837,Europe
Belgium,44740.6,514.7452386,511.5622268,517.9039738,6.341747034,509.1688172,525.0433883,493.2942461,-31.74914216,505.4576809,505.5156739,505.3996878,-0.115986075,Europe
Brazil,12157.3,388.5089633,380.48676,397.1659555,16.67919546,405.9285802,421.8139703,390.0431901,-31.77078022,401.6286441,401.3932379,401.8640503,0.470812428,South America
Bulgaria,7378,438.7382599,440.0126404,437.5512204,-2.461419959,437.3610517,472.1746459,402.5474575,-69.62718837,446.8274129,456.9362854,436.7185403,-20.21774514,Europe
Canada,52495.3,518.0703996,513.0190989,523.1402701,10.12117118,523.0917818,540.6533536,505.53021,-35.12314358,525.4438735,524.0369683,526.8507786,2.813810312,North America
Chile,15253.3,422.6323554,410.5432523,435.5246183,24.98136607,441.0336591,452.3711458,429.6961724,-22.67497338,445.0431633,441.6452658,448.4410608,6.795794963,South America
China,6337.9,612.6755363,609.8884765,615.6074897,5.719013267,569.2839952,581.299292,557.2686983,-24.0305937,580.17776,577.8123327,582.5431872,4.730854496,Asia
Taiwan,42201.1,559.8247962,557.2202452,562.5293506,5.309105352,522.8147442,538.9623531,506.6671352,-32.2952179,523.323895,522.8465939,523.8011961,0.954602262,Aisa
Colombia,7885.1,376.4886011,364.4938778,389.960416,25.46653825,402.8647519,412.136656,393.5928477,-18.54380828,399.1893141,390.3846365,407.9939917,17.60935519,South America
Costa Rica,9985.3,406.999867,395.9162352,419.5437099,23.62747465,439.7730958,452.3086499,427.2375417,-25.07110826,429.7138251,423.8424769,435.5851733,11.74269648,North America
Croatia,13236,471.1314608,465.2389532,476.7966408,11.55768767,485.0398489,509.1802773,460.8994205,-48.28085688,491.3790283,492.5201896,490.2378669,-2.282322649,Europe
Czech Republic,19729.9,498.9578823,492.9032218,504.7100969,11.80687509,493.3867777,512.7901932,473.9833622,-38.80683103,508.287987,507.8549632,508.7210108,0.866047651,Europe
Denmark,58125.4,500.0267566,493.0287408,506.9532352,13.92449443,496.2095844,511.5288552,480.8903135,-30.6385417,498.448077,493.3630354,503.5331185,10.17008304,Europe
Estonia,17421.9,520.5455217,517.9298296,523.2142199,5.28439033,516.0759474,537.8328666,494.3190281,-43.51383854,541.3925652,542.6079326,540.1771978,-2.43073475,Europe
Finland,47415.6,518.7503353,520.1854806,517.3908854,-2.794595249,524.8573076,555.708154,494.0064612,-61.70169284,545.6648226,553.8934053,537.4362398,-16.45716546,Europe
France,40380,494.9846743,490.852618,499.3547541,8.502136072,504.8684626,526.76541,482.9715152,-43.7938948,498.9367286,500.1571155,497.7163416,-2.440773925,Europe
Germany,44065.2,513.5250558,506.6245541,520.1901066,13.56555251,508.0594098,530.1191128,485.9997068,-44.11940607,524.1254077,524.3909232,523.8598921,-0.531031112,Europe
Greece,22242.7,452.9734269,448.9844107,457.0387451,8.054334475,476.9580702,502.1977888,451.7183515,-50.47943726,466.6591349,473.2981988,460.0200709,-13.27812794,Europe
Hungary,12834.3,477.044455,472.6635078,481.7490552,9.085547468,487.7562654,507.5488676,467.9636631,-39.58520447,494.357738,492.8029258,495.9125502,3.109624415,Europe
